1;7;9;18;19;20;23
1;3;7;9;18;19;23
3;4;7;9;19;20;24
1;3;9;18;20;23;24
3;4;7;18;19;20;24
1;3;4;18;19;23;24
3;4;9;18;19;23;24
3;4;7;9;18;19;20
1;3;4;7;19;23;24
2;6;12;16;17;18;28
2;4;6;12;16;17;28
4;5;6;12;17;18;29
2;4;12;16;18;28;29
4;5;6;16;17;18;29
2;4;5;16;17;28;29
4;5;12;16;17;28;29
4;5;6;12;16;17;18
2;4;5;6;17;28;29
5;17;18;19;20;25;28
5;12;17;18;19;20;28
12;13;17;18;20;25;31
5;12;18;19;25;28;31
12;13;17;19;20;25;31
5;12;13;19;20;28;31
12;13;18;19;20;28;31
12;13;17;18;19;20;25
5;12;13;17;20;28;31
