3;11;16;17;20;23;29
7;8;17;18;20;23;30
8;10;11;16;17;18;23
7;8;10;11;20;23;29
3;7;8;11;16;18;20
7;8;10;17;18;21;30
7;10;16;17;23;29;30
7;8;16;20;23;29;30
3;7;8;16;17;21;30
3;8;10;11;18;23;29
10;16;17;20;21;29;30
3;8;10;16;20;23;30
1;21;23;24;27;29;30
17;18;24;25;27;29;31
18;19;21;23;24;25;29
17;18;19;21;27;29;30
1;17;18;21;23;25;27
17;18;19;24;25;28;31
17;19;23;24;29;30;31
17;18;23;27;29;30;31
1;17;18;23;24;28;31
1;18;19;21;25;29;30
19;23;24;27;28;30;31
1;18;19;23;27;29;31
1;12;14;17;24;26;28
4;9;17;22;24;26;29
9;11;12;14;17;22;26
4;9;11;12;24;26;28
1;4;9;12;14;22;24
4;9;11;17;22;25;29
4;11;14;17;26;28;29
4;9;14;24;26;28;29
1;4;9;14;17;25;29
1;9;11;12;22;26;28
11;14;17;24;25;28;29
1;9;11;14;24;26;29
