1;3;6;10;11;12;16
6;7;9;10;11;12;13
3;4;5;7;8;9;15
1;4;6;7;10;11;12
2;3;4;6;8;9;14
1;5;9;10;14;15;16
2;9;11;12;14;16;17
2;3;6;12;14;16;17
4;5;7;9;12;14;16
1;3;6;8;13;16;17
4;5;9;11;13;14;16
4;5;8;9;10;12;13
3;6;7;10;12;13;15
2;3;8;9;11;13;17
1;2;5;6;9;11;16
1;2;5;7;9;15;17
1;3;4;6;7;13;16
3;5;6;8;9;10;14
1;9;10;11;13;14;17
2;4;6;8;9;11;17
2;6;8;12;13;14;15
2;6;8;9;14;15;16
1;3;5;6;11;16;17
1;8;9;10;12;14;17
3;5;8;9;14;15;17
3;4;8;9;10;13;14
2;4;5;6;9;11;15
1;2;5;6;7;12;16
5;8;10;11;13;15;16
3;6;8;11;12;15;16
1;2;5;10;13;15;16
2;3;4;5;6;7;17
1;3;5;6;10;12;13
3;4;11;14;15;16;17
4;6;13;14;15;16;17
1;3;4;8;10;13;16
2;5;6;9;14;15;16
2;3;4;14;15;16;17
2;3;5;6;7;8;13
2;3;8;9;10;12;13
2;3;4;5;8;14;17
3;4;11;12;13;16;17
1;2;11;12;13;14;15
2;4;8;11;13;15;16
2;3;8;14;15;16;17
4;5;8;9;11;14;16
1;4;8;9;12;14;17
1;3;4;7;8;10;13
2;3;5;6;7;12;15
1;2;5;6;8;12;15
2;4;6;7;9;14;16
2;6;7;8;10;14;17
4;6;7;11;13;14;17
2;4;5;9;10;13;16
1;2;5;8;9;16;17
2;5;9;10;12;14;15
4;7;8;9;10;16;17
