2;11;12;16;17;20;27
2;4;11;12;16;17;27
4;6;11;12;17;20;29
2;4;12;16;20;27;29
4;6;11;16;17;20;29
2;4;6;16;17;27;29
4;6;12;16;17;27;29
4;6;11;12;16;17;20
2;4;6;11;17;27;29
3;12;13;14;19;22;26
3;9;12;13;14;19;26
9;10;12;13;19;22;30
3;9;13;14;22;26;30
9;10;12;14;19;22;30
3;9;10;14;19;26;30
9;10;13;14;19;26;30
9;10;12;13;14;19;22
3;9;10;12;19;26;30
1;8;11;13;20;24;27
1;3;8;11;13;20;27
3;4;8;11;20;24;29
1;3;11;13;24;27;29
3;4;8;13;20;24;29
1;3;4;13;20;27;29
3;4;11;13;20;27;29
3;4;8;11;13;20;24
1;3;4;8;20;27;29
