2;3;7;9;12;14;17
2;5;8;12;15;16;18
3;6;7;8;12;14;15
1;2;6;7;8;15;16
4;6;8;12;13;16;17
1;5;9;12;13;16;17
2;5;8;10;14;16;18
2;5;7;9;11;14;16
3;5;6;11;13;15;17
3;7;11;14;15;16;18
2;7;8;12;16;17;18
2;3;4;6;7;8;13
1;3;4;8;9;12;16
1;3;6;12;13;15;17
4;10;11;13;15;16;18
1;6;8;13;15;16;18
1;2;7;8;12;13;17
2;5;6;7;11;13;18
1;6;8;10;14;15;16
3;4;8;9;11;13;18
1;2;3;6;9;12;16
2;4;7;9;10;12;18
1;3;9;12;13;14;15
1;2;3;11;12;13;18
3;5;8;9;12;13;17
3;4;6;7;12;14;16
4;5;7;9;10;14;18
2;3;6;10;11;14;18
2;3;5;7;10;13;18
2;6;9;11;12;13;16
3;5;7;8;11;14;15
4;7;9;10;14;15;18
3;9;10;12;13;15;17
2;5;9;10;15;17;18
1;3;4;7;8;11;16
1;5;6;8;9;14;15
1;3;5;10;12;13;18
3;4;6;7;14;15;17
1;3;4;5;12;13;16
6;10;11;12;15;16;18
4;6;7;8;10;17;18
3;6;7;8;10;11;17
3;7;8;9;10;11;16
2;3;4;6;11;15;18
3;5;6;7;11;13;16
1;2;3;10;13;16;17
1;4;7;12;13;15;18
5;8;9;10;12;15;18
6;10;12;13;14;16;18
3;5;9;10;11;13;17
8;10;12;13;15;16;17
1;9;10;13;14;17;18
1;2;11;12;13;15;18
1;3;5;13;14;15;17
1;2;4;7;10;12;14
1;3;4;10;11;13;17
2;3;5;8;15;16;18
1;3;4;7;10;11;12
5;7;9;12;15;16;17
1;2;4;5;9;17;18
4;6;10;12;13;15;16
3;4;5;12;14;16;17
2;5;7;10;13;15;17
3;4;5;6;8;9;12
1;3;8;10;11;12;18
3;6;7;11;14;15;17
1;2;3;4;6;11;16
3;4;9;11;13;14;15
2;4;5;10;13;16;17
3;4;5;8;13;14;17
2;7;8;10;11;16;18
1;4;8;9;10;12;18
1;3;7;11;14;15;16
1;8;14;15;16;17;18
1;3;4;6;8;10;13
8;9;10;13;14;15;17
6;8;10;12;13;14;15
1;3;5;8;10;14;18
2;3;7;8;11;15;18
3;5;6;8;10;12;13
4;5;7;9;12;13;14
1;2;4;5;6;9;14
