3;10;11;12;16;17;18
1;3;12;16;17;18;24
3;10;11;12;16;24;25
1;4;8;10;12;17;18
3;4;10;12;16;18;24
1;3;8;11;16;18;24
3;13;20;22;23;26;27
2;3;22;23;26;27;28
3;13;20;22;23;28;30
2;4;6;13;22;26;27
3;4;13;22;23;27;28
2;3;6;20;23;27;28
10;14;15;17;19;22;24
3;10;17;19;22;24;27
10;14;15;17;19;27;30
3;11;13;14;17;22;24
10;11;14;17;19;24;27
3;10;13;15;19;24;27
7;16;17;19;20;24;27
4;7;19;20;24;27;30
7;16;17;19;20;30;31
4;13;14;16;19;24;27
7;13;16;19;20;27;30
4;7;14;17;20;27;30
6;10;18;19;21;27;28
5;6;19;21;27;28;30
6;10;18;19;21;30;31
5;7;9;10;19;27;28
6;7;10;19;21;28;30
5;6;9;18;21;28;30
6;14;18;20;22;25;27
4;6;20;22;25;27;29
6;14;18;20;22;29;30
4;7;9;14;20;25;27
6;7;14;20;22;27;29
4;6;9;18;22;27;29
6;13;14;18;19;20;22
5;6;18;19;20;22;27
6;13;14;18;19;27;29
5;9;10;13;18;20;22
6;9;13;18;19;22;27
5;6;10;14;19;22;27
